Scenario,ScenarioName,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,ParetoContribution,TimeMs,WaitingTime_Best,Energy_Best,ScoredSeeds
1,Balanced,GA_WaitingTime_Dominance_PC90,202,0.158692,0.017003,0.508647,0.004963,24,0,14334,2.140000,0.062640221,
1,Balanced,GA_WaitingTime_Dominance_PC90,203,0.198896,0.000000,0.503884,0.005894,8,8,14538,2.164000,0.061900522,
1,Balanced,GA_WaitingTime_Dominance_PC90,204,0.152197,0.015373,0.522822,0.003589,13,0,14560,2.100000,0.062774007,
1,Balanced,GA_WaitingTime_Dominance_PC90,205,0.111824,0.022308,0.547728,0.001401,15,0,13940,2.104000,0.063539698,
1,Balanced,GA_WaitingTime_Dominance_PC90,206,0.118819,0.020388,0.543814,0.002592,9,0,14192,2.146000,0.063412641,
1,Balanced,GA_WaitingTime_Dominance_PC90,207,0.140267,0.007231,0.537251,0.001262,11,0,14224,2.124000,0.063011162,
1,Balanced,GA_WaitingTime_Dominance_PC90,208,0.159093,0.003089,0.527850,0.005122,7,0,14172,2.106000,0.062658567,
1,Balanced,GA_WaitingTime_Dominance_PC90,209,0.145307,0.003025,0.537498,0.004019,6,0,14301,2.120000,0.062917672,
1,Balanced,GA_WaitingTime_Dominance_PC90,MEAN,0.148877,0.009941,0.529288,0.003676,,8,14324,2.100000,0.061900522,10
1,Balanced,GA_Energy_Dominance_PC90,200,0.634917,0.073374,0.111024,0.009402,87,0,16803,4.468000,0.047637911,
1,Balanced,GA_Energy_Dominance_PC90,201,0.647331,0.058687,0.095292,0.011387,86,0,16015,4.458000,0.048615669,
1,Balanced,GA_Energy_Dominance_PC90,202,0.649728,0.068638,0.100707,0.005755,99,0,16498,4.318000,0.048876811,
1,Balanced,GA_Energy_Dominance_PC90,203,0.646030,0.057665,0.104275,0.006546,83,0,16524,4.184000,0.049057134,
1,Balanced,GA_Energy_Dominance_PC90,204,0.621802,0.084261,0.107533,0.010861,83,0,16522,4.898000,0.047954420,
1,Balanced,GA_Energy_Dominance_PC90,205,0.680547,0.039637,0.086326,0.006937,99,34,15982,4.352000,0.048359984,
1,Balanced,GA_Energy_Dominance_PC90,206,0.643439,0.067553,0.105535,0.004674,92,0,15327,4.140000,0.049576424,
1,Balanced,GA_Energy_Dominance_PC90,207,0.619905,0.071200,0.138863,0.009912,81,9,15273,4.382000,0.050960682,
1,Balanced,GA_Energy_Dominance_PC90,208,0.610095,0.059524,0.134226,0.004065,104,0,15790,4.258000,0.051722067,
1,Balanced,GA_Energy_Dominance_PC90,209,0.633084,0.080742,0.105710,0.006435,91,0,16820,4.190000,0.047857078,
1,Balanced,GA_Energy_Dominance_PC90,MEAN,0.638688,0.066128,0.108949,0.007597,,43,16155,4.140000,0.047637911,10
1,Balanced,SA_WaitingTime_Dominance_PC90,200,0.123065,0.018751,0.541227,0.002694,31,0,12388,2.024000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance_PC90,201,0.129730,0.030206,0.527034,0.003947,23,0,12431,2.100000,0.063161753,
1,Balanced,SA_WaitingTime_Dominance_PC90,202,0.119325,0.023730,0.543636,0.002289,23,0,12382,2.114000,0.063602724,
1,Balanced,SA_WaitingTime_Dominance_PC90,203,0.135561,0.039535,0.517134,0.001699,35,0,12437,1.984000,0.063134815,
1,Balanced,SA_WaitingTime_Dominance_PC90,204,0.110791,0.013656,0.546095,0.001740,20,0,12135,2.066000,0.063565358,
1,Balanced,SA_WaitingTime_Dominance_PC90,205,0.127329,0.014753,0.543641,0.002561,23,0,11963,2.104000,0.063417459,
1,Balanced,SA_WaitingTime_Dominance_PC90,206,0.106790,0.028080,0.548768,0.001982,19,0,12273,2.002000,0.063589900,
1,Balanced,SA_WaitingTime_Dominance_PC90,207,0.110695,0.019849,0.546330,0.001729,25,0,12092,2.052000,0.063546807,
1,Balanced,SA_WaitingTime_Dominance_PC90,208,0.106179,0.024488,0.549614,0.003212,16,0,12246,2.022000,0.063603419,
1,Balanced,SA_WaitingTime_Dominance_PC90,209,0.114443,0.024852,0.542486,0.003529,18,0,12142,2.056000,0.063457154,
1,Balanced,SA_WaitingTime_Dominance_PC90,MEAN,0.118391,0.023790,0.540597,0.002538,,0,12248,1.984000,0.063134815,10
1,Balanced,SA_Energy_Dominance_PC90,200,0.542809,0.145434,0.180009,0.003139,111,0,12417,4.536000,0.051533360,
1,Balanced,SA_Energy_Dominance_PC90,201,0.530023,0.159240,0.192436,0.004109,94,0,12808,4.334000,0.052136626,
1,Balanced,SA_Energy_Dominance_PC90,202,0.523652,0.123600,0.230555,0.004059,101,0,12485,4.192000,0.053737648,
1,Balanced,SA_Energy_Dominance_PC90,203,0.548057,0.122966,0.196628,0.002283,114,0,12683,4.486000,0.052517372,
1,Balanced,SA_Energy_Dominance_PC90,204,0.518060,0.109668,0.226605,0.002247,89,0,12857,4.172000,0.053979546,
1,Balanced,SA_Energy_Dominance_PC90,205,0.490952,0.157242,0.223766,0.004744,102,0,12606,4.470000,0.053534521,
1,Balanced,SA_Energy_Dominance_PC90,206,0.515789,0.126552,0.235770,0.006083,74,0,12533,4.390000,0.053885834,
1,Balanced,SA_Energy_Dominance_PC90,207,0.538786,0.140668,0.199988,0.005015,86,0,12228,4.728000,0.052551008,
1,Balanced,SA_Energy_Dominance_PC90,208,0.505599,0.177721,0.203556,0.005803,114,0,12725,4.510000,0.052272291,
1,Balanced,SA_Energy_Dominance_PC90,209,0.555915,0.121313,0.194644,0.003018,107,0,12548,4.594000,0.052369989,
1,Balanced,SA_Energy_Dominance_PC90,MEAN,0.526964,0.138440,0.208396,0.004050,,0,12589,4.172000,0.051533360,10
1,Balanced,NSGA-II_PC90,200,0.544175,0.018294,0.249745,0.004723,45,0,19135,2.976000,0.054916048,
1,Balanced,NSGA-II_PC90,201,0.511092,0.021060,0.274578,0.003072,39,0,19232,3.010000,0.055567556,
1,Balanced,NSGA-II_PC90,202,0.474269,0.012521,0.301918,0.004428,40,0,19093,2.886000,0.056403066,
1,Balanced,NSGA-II_PC90,203,0.562809,0.012286,0.247109,0.003341,41,0,19577,3.074000,0.054518392,
1,Balanced,NSGA-II_PC90,204,0.551268,0.010192,0.257120,0.004259,44,2,19266,3.052000,0.054777414,
1,Balanced,NSGA-II_PC90,205,0.551561,0.014292,0.255088,0.017385,48,0,19310,3.104000,0.054738158,
1,Balanced,NSGA-II_PC90,206,0.548395,0.016378,0.248041,0.005907,45,0,19536,3.014000,0.054815633,
1,Balanced,NSGA-II_PC90,207,0.491793,0.032594,0.274861,0.003907,43,0,19442,3.002000,0.055897494,
1,Balanced,NSGA-II_PC90,208,0.508918,0.023514,0.261887,0.006803,44,0,19805,2.966000,0.055640449,
1,Balanced,NSGA-II_PC90,209,0.547922,0.008260,0.260180,0.005709,34,6,19017,2.946000,0.054883226,
1,Balanced,NSGA-II_PC90,MEAN,0.529220,0.016939,0.263053,0.005953,,8,19341,2.886000,0.054518392,10
1,Balanced,SPEA-II_PC90,200,0.472620,0.008437,0.311070,0.002673,33,1,20494,2.878000,0.056439456,
1,Balanced,SPEA-II_PC90,201,0.421585,0.023923,0.339347,0.001865,45,0,20325,2.896000,0.057404293,
1,Balanced,SPEA-II_PC90,202,0.453421,0.016152,0.316858,0.003017,39,0,20591,2.754000,0.056817509,
1,Balanced,SPEA-II_PC90,203,0.357240,0.016710,0.389860,0.004183,29,0,20389,2.754000,0.058741625,
1,Balanced,SPEA-II_PC90,204,0.397372,0.016595,0.341742,0.003413,37,0,19858,2.884000,0.057919285,
1,Balanced,SPEA-II_PC90,205,0.456521,0.014745,0.322419,0.002469,50,0,20329,2.744000,0.056780797,
1,Balanced,SPEA-II_PC90,206,0.491243,0.023612,0.267286,0.005988,40,0,20499,2.866000,0.056002141,
1,Balanced,SPEA-II_PC90,207,0.475929,0.024390,0.290904,0.003482,41,0,20193,2.882000,0.056314267,
1,Balanced,SPEA-II_PC90,208,0.466451,0.008483,0.323768,0.002204,35,1,20178,2.818000,0.056594859,
1,Balanced,SPEA-II_PC90,209,0.335622,0.012959,0.400410,0.002067,33,0,20349,2.784000,0.059160793,
1,Balanced,SPEA-II_PC90,MEAN,0.432800,0.016601,0.330366,0.003136,,2,20320,2.744000,0.056002141,10
1,Balanced,AMOSA_PC90,200,0.225031,0.043073,0.453374,0.006116,21,0,20989,3.196000,0.061216441,
1,Balanced,AMOSA_PC90,201,0.278140,0.059060,0.400553,0.004896,30,0,21426,3.070000,0.060123106,
1,Balanced,AMOSA_PC90,202,0.262050,0.042011,0.423468,0.005981,29,0,21160,3.106000,0.060477219,
1,Balanced,AMOSA_PC90,203,0.245019,0.044836,0.441214,0.002896,29,0,21124,3.152000,0.060821384,
1,Balanced,AMOSA_PC90,204,0.327941,0.062855,0.365549,0.004306,29,0,21492,3.146000,0.059074814,
1,Balanced,AMOSA_PC90,205,0.222965,0.044033,0.443526,0.007408,24,0,21016,3.078000,0.061270208,
1,Balanced,AMOSA_PC90,206,0.269747,0.040201,0.422511,0.002867,28,0,21348,3.048000,0.060362388,
1,Balanced,AMOSA_PC90,207,0.267715,0.043370,0.421780,0.008054,18,0,21504,3.058000,0.060378434,
1,Balanced,AMOSA_PC90,208,0.246050,0.044910,0.439627,0.003989,20,0,21120,3.164000,0.060794840,
1,Balanced,AMOSA_PC90,209,0.259302,0.042825,0.424309,0.005573,28,0,21826,3.078000,0.060543386,
1,Balanced,AMOSA_PC90,MEAN,0.260396,0.046717,0.423591,0.005209,,0,21300,3.048000,0.059074814,10
1,Balanced,GA_WaitingTime_Dominance_PC80,200,0.168398,0.008094,0.520670,0.003142,5,0,14144,2.320000,0.062459809,
1,Balanced,GA_WaitingTime_Dominance_PC80,201,0.193651,0.008499,0.501654,0.002321,9,0,13989,2.344000,0.061975732,
1,Balanced,GA_WaitingTime_Dominance_PC80,202,0.151499,0.013010,0.528645,0.001231,10,0,14295,2.404000,0.062771847,
1,Balanced,GA_WaitingTime_Dominance_PC80,203,0.172446,0.014308,0.504164,0.010417,11,0,14159,2.394000,0.062371590,
1,Balanced,GA_WaitingTime_Dominance_PC80,204,0.205443,0.008741,0.485407,0.004173,14,2,14438,2.396000,0.061741464,
1,Balanced,GA_WaitingTime_Dominance_PC80,205,0.152221,0.018724,0.515653,0.013059,9,0,14160,2.368000,0.062751937,
1,Balanced,GA_WaitingTime_Dominance_PC80,206,0.160947,0.010369,0.520935,0.004871,10,0,14236,2.300000,0.062601070,
1,Balanced,GA_WaitingTime_Dominance_PC80,207,0.163031,0.012375,0.515148,0.007789,10,0,14321,2.326000,0.062556770,
1,Balanced,GA_WaitingTime_Dominance_PC80,208,0.162504,0.009110,0.524247,0.003122,9,0,14315,2.342000,0.062569372,
1,Balanced,GA_WaitingTime_Dominance_PC80,209,0.174731,0.014466,0.508463,0.012300,4,0,14321,2.412000,0.062326367,
1,Balanced,GA_WaitingTime_Dominance_PC80,MEAN,0.170487,0.011770,0.512499,0.006242,,2,14237,2.300000,0.061741464,10
1,Balanced,GA_Energy_Dominance_PC80,200,0.589023,0.092945,0.133060,0.007473,111,0,16949,6.536000,0.049445930,
1,Balanced,GA_Energy_Dominance_PC80,201,0.541663,0.134593,0.177304,0.010146,91,0,15984,6.344000,0.051339406,
1,Balanced,GA_Energy_Dominance_PC80,202,0.524881,0.142652,0.184456,0.006449,89,0,16382,6.680000,0.051795820,
1,Balanced,GA_Energy_Dominance_PC80,203,0.471394,0.196553,0.222093,0.014449,84,0,15797,6.826000,0.051116973,
1,Balanced,GA_Energy_Dominance_PC80,204,0.513805,0.111010,0.202019,0.009624,91,0,15958,6.480000,0.053164304,
1,Balanced,GA_Energy_Dominance_PC80,205,0.524982,0.141487,0.182034,0.004762,96,0,16453,6.528000,0.051630962,
1,Balanced,GA_Energy_Dominance_PC80,206,0.537965,0.137312,0.181448,0.003659,105,0,15478,6.742000,0.051581635,
1,Balanced,GA_Energy_Dominance_PC80,207,0.525067,0.177803,0.199110,0.006709,103,0,16146,6.822000,0.050306689,
1,Balanced,GA_Energy_Dominance_PC80,208,0.576011,0.117047,0.159541,0.005024,98,0,16037,6.300000,0.050990580,
1,Balanced,GA_Energy_Dominance_PC80,209,0.547985,0.138821,0.173801,0.014604,92,0,16630,6.838000,0.050514028,
1,Balanced,GA_Energy_Dominance_PC80,MEAN,0.535278,0.139022,0.181487,0.008290,,0,16181,6.300000,0.049445930,10
1,Balanced,SA_WaitingTime_Dominance_PC80,200,0.108838,0.020413,0.548496,0.002367,14,0,12341,2.286000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance_PC80,201,0.109500,0.029694,0.547373,0.003127,21,0,12186,2.336000,0.063545405,
1,Balanced,SA_WaitingTime_Dominance_PC80,202,0.106877,0.024667,0.550578,0.001922,13,0,12338,2.280000,0.063610953,
1,Balanced,SA_WaitingTime_Dominance_PC80,203,0.109004,0.022914,0.548180,0.004366,16,0,12443,2.306000,0.063574826,
1,Balanced,SA_WaitingTime_Dominance_PC80,204,0.109201,0.030490,0.547603,0.003928,24,0,12688,2.238000,0.063565358,
1,Balanced,SA_WaitingTime_Dominance_PC80,205,0.108692,0.021941,0.548335,0.003041,16,0,12136,2.360000,0.063567351,
1,Balanced,SA_WaitingTime_Dominance_PC80,206,0.106737,0.027491,0.549416,0.002482,23,0,12218,2.366000,0.063599165,
1,Balanced,SA_WaitingTime_Dominance_PC80,207,0.123670,0.029020,0.540915,0.006337,20,0,12370,2.352000,0.063546807,
1,Balanced,SA_WaitingTime_Dominance_PC80,208,0.106912,0.024585,0.549636,0.003474,29,0,12534,2.350000,0.063603419,
1,Balanced,SA_WaitingTime_Dominance_PC80,209,0.121497,0.027189,0.542975,0.003770,16,0,12329,2.226000,0.063589900,
1,Balanced,SA_WaitingTime_Dominance_PC80,MEAN,0.111093,0.025840,0.547350,0.003481,,0,12358,2.226000,0.063545405,10
1,Balanced,SA_Energy_Dominance_PC80,200,0.504135,0.172514,0.204774,0.007617,116,0,12931,5.320000,0.052381789,
1,Balanced,SA_Energy_Dominance_PC80,201,0.477253,0.192988,0.208461,0.004214,89,0,12999,4.630000,0.052364996,
1,Balanced,SA_Energy_Dominance_PC80,202,0.523448,0.146642,0.192118,0.006716,87,0,12969,4.948000,0.052046079,
1,Balanced,SA_Energy_Dominance_PC80,203,0.440781,0.222203,0.234222,0.003320,94,0,12636,5.104000,0.052712356,
1,Balanced,SA_Energy_Dominance_PC80,204,0.516092,0.177868,0.188620,0.004649,116,0,13034,5.132000,0.050617607,
1,Balanced,SA_Energy_Dominance_PC80,205,0.530739,0.162981,0.178295,0.003448,110,0,13102,4.770000,0.051040795,
1,Balanced,SA_Energy_Dominance_PC80,206,0.537950,0.134226,0.205526,0.003709,67,0,13337,5.036000,0.052724356,
1,Balanced,SA_Energy_Dominance_PC80,207,0.533478,0.177979,0.180230,0.003889,109,0,12958,4.896000,0.050416157,
1,Balanced,SA_Energy_Dominance_PC80,208,0.503732,0.178670,0.195588,0.005194,106,0,12653,4.834000,0.051471955,
1,Balanced,SA_Energy_Dominance_PC80,209,0.552162,0.129985,0.204245,0.005926,83,2,12714,4.740000,0.052413072,
1,Balanced,SA_Energy_Dominance_PC80,MEAN,0.511977,0.169606,0.199208,0.004868,,2,12933,4.630000,0.050416157,10
1,Balanced,NSGA-II_PC80,200,0.302987,0.017121,0.420810,0.007734,14,0,17623,2.866000,0.059784182,
1,Balanced,NSGA-II_PC80,201,0.383472,0.015286,0.382952,0.001752,30,0,17963,2.900000,0.058201687,
1,Balanced,NSGA-II_PC80,202,0.272357,0.022454,0.439327,0.002378,21,0,17755,2.866000,0.060375187,
1,Balanced,NSGA-II_PC80,203,0.337046,0.040896,0.369506,0.003967,37,0,19275,3.220000,0.058974176,
1,Balanced,NSGA-II_PC80,204,0.308615,0.018886,0.415918,0.002921,24,0,17729,2.880000,0.059667002,
1,Balanced,NSGA-II_PC80,205,0.414460,0.068227,0.304037,0.006645,31,0,19355,3.170000,0.057242235,
1,Balanced,NSGA-II_PC80,206,0.280505,0.017353,0.441634,0.003762,19,0,18090,2.826000,0.060229943,
1,Balanced,NSGA-II_PC80,207,0.255063,0.022411,0.450384,0.002013,21,0,17745,2.878000,0.060711610,
1,Balanced,NSGA-II_PC80,208,0.272393,0.020681,0.439431,0.002581,25,0,17940,2.866000,0.060373955,
1,Balanced,NSGA-II_PC80,209,0.288961,0.018111,0.427086,0.002443,32,0,18419,2.820000,0.060063039,
1,Balanced,NSGA-II_PC80,MEAN,0.311586,0.026142,0.409108,0.003619,,0,18189,2.820000,0.057242235,10
1,Balanced,SPEA-II_PC80,200,0.353043,0.064199,0.352893,0.002485,38,0,20250,3.102000,0.058569233,
1,Balanced,SPEA-II_PC80,201,0.286344,0.010951,0.438789,0.009065,14,0,18996,2.768000,0.060130283,
1,Balanced,SPEA-II_PC80,202,0.313880,0.013733,0.419778,0.001833,28,0,18829,2.724000,0.059603153,
1,Balanced,SPEA-II_PC80,203,0.363541,0.022098,0.382630,0.003896,20,0,19013,2.770000,0.058610299,
1,Balanced,SPEA-II_PC80,204,0.354152,0.057015,0.351438,0.005953,34,0,19959,3.152000,0.058556896,
1,Balanced,SPEA-II_PC80,205,0.271901,0.022677,0.448767,0.000858,22,0,19375,2.802000,0.060401310,
1,Balanced,SPEA-II_PC80,206,0.259150,0.023983,0.455333,0.003180,22,0,19143,2.784000,0.060651391,
1,Balanced,SPEA-II_PC80,207,0.367292,0.047461,0.347723,0.003957,36,0,20138,3.148000,0.058352677,
1,Balanced,SPEA-II_PC80,208,0.300093,0.012131,0.430148,0.003703,23,0,18894,2.740000,0.059869406,
1,Balanced,SPEA-II_PC80,209,0.357341,0.044767,0.356053,0.003343,31,0,19992,3.122000,0.058553732,
1,Balanced,SPEA-II_PC80,MEAN,0.322674,0.031901,0.398355,0.003827,,0,19458,2.724000,0.058352677,10
1,Balanced,AMOSA_PC80,200,0.221063,0.048264,0.453137,0.004193,21,0,21264,3.252000,0.061279630,
1,Balanced,AMOSA_PC80,201,0.192564,0.047651,0.475185,0.007907,10,0,20954,3.242000,0.061848481,
1,Balanced,AMOSA_PC80,202,0.136772,0.044431,0.528120,0.002446,8,0,21285,3.202000,0.062975548,
1,Balanced,AMOSA_PC80,203,0.215497,0.042094,0.463193,0.003623,24,0,21453,3.214000,0.061406999,
