CapTier,CapWatts,WaitingTime,Energy
Uncapped,,1.282000,0.047309953
Uncapped,,1.284000,0.047267848
Uncapped,,1.290000,0.047203664
Uncapped,,1.292000,0.047010248
Uncapped,,1.294000,0.046968143
Uncapped,,1.296000,0.046546632
Uncapped,,1.298000,0.046543406
Uncapped,,1.302000,0.046468872
Uncapped,,1.304000,0.046452698
Uncapped,,1.308000,0.046430149
Uncapped,,1.310000,0.045763054
Uncapped,,1.312000,0.045742001
Uncapped,,1.316000,0.045709173
Uncapped,,1.318000,0.045678843
Uncapped,,1.320000,0.045657790
Uncapped,,1.322000,0.045365675
Uncapped,,1.324000,0.045344622
Uncapped,,1.340000,0.045301739
Uncapped,,1.344000,0.045244282
Uncapped,,1.436000,0.045150086
Uncapped,,1.442000,0.045073331
Uncapped,,1.446000,0.045025267
Uncapped,,1.462000,0.044994958
Uncapped,,1.502000,0.044967345
Uncapped,,1.672000,0.044627588
Uncapped,,1.686000,0.044558738
Uncapped,,1.690000,0.044331101
Uncapped,,1.698000,0.044320828
Uncapped,,1.702000,0.044302933
Uncapped,,1.710000,0.044215185
Uncapped,,1.716000,0.044083460
Uncapped,,1.742000,0.044045275
Uncapped,,1.748000,0.043924527
Uncapped,,1.752000,0.043808191
Uncapped,,1.756000,0.043749331
Uncapped,,1.768000,0.043710874
Uncapped,,1.770000,0.043589753
Uncapped,,1.772000,0.043561468
Uncapped,,1.780000,0.043183647
Uncapped,,1.802000,0.043149467
Uncapped,,1.804000,0.042853861
Uncapped,,1.808000,0.042823103
Uncapped,,1.826000,0.042406080
Uncapped,,1.834000,0.042356957
Uncapped,,1.860000,0.042200947
Uncapped,,1.870000,0.041959035
Uncapped,,1.916000,0.041616845
Uncapped,,1.936000,0.041613210
Uncapped,,1.964000,0.041549714
Uncapped,,1.970000,0.041418941
Uncapped,,1.990000,0.041387361
Uncapped,,1.998000,0.041329224
Uncapped,,2.022000,0.041328176
Uncapped,,2.050000,0.041319738
Uncapped,,2.052000,0.041100644
Uncapped,,2.062000,0.040993974
Uncapped,,2.120000,0.040945080
Uncapped,,2.144000,0.040894156
Uncapped,,2.146000,0.040178104
Uncapped,,2.160000,0.040040789
Uncapped,,2.186000,0.040006474
Uncapped,,2.218000,0.039487332
Uncapped,,2.244000,0.039229034
Uncapped,,2.286000,0.039088508
Uncapped,,2.300000,0.038810674
Uncapped,,2.412000,0.038667946
Uncapped,,2.468000,0.038443830
Uncapped,,2.522000,0.038412365
Uncapped,,2.598000,0.038219302
Uncapped,,2.642000,0.038203431
Uncapped,,2.684000,0.038078220
Uncapped,,2.728000,0.038024039
Uncapped,,2.770000,0.037962886
Uncapped,,2.814000,0.037956451
Uncapped,,2.844000,0.037843151
Uncapped,,2.896000,0.037741207
Uncapped,,2.948000,0.037613457
Uncapped,,3.012000,0.037523882
Uncapped,,3.116000,0.037498750
Uncapped,,3.190000,0.037467007
Uncapped,,3.194000,0.037372124
Uncapped,,3.276000,0.037342495
Uncapped,,3.316000,0.037292781
Uncapped,,3.366000,0.037270250
Uncapped,,3.384000,0.037223072
Uncapped,,3.772000,0.037064085
Uncapped,,3.948000,0.036999214
Uncapped,,4.134000,0.036959322
Uncapped,,4.310000,0.036934533
Uncapped,,4.362000,0.036931718
Uncapped,,4.404000,0.036891334
Uncapped,,4.778000,0.036868528
Uncapped,,6.878000,0.036430913
Uncapped,,6.926000,0.036406715
Uncapped,,8.514000,0.036166912
Uncapped,,8.532000,0.035874466
Uncapped,,8.596000,0.035840442
Uncapped,,8.744000,0.035840442
Uncapped,,9.730000,0.035827199
Uncapped,,9.746000,0.035782738
Uncapped,,9.836000,0.035698241
Uncapped,,9.954000,0.035677619
Uncapped,,10.206000,0.035565920
Uncapped,,10.234000,0.035516899
Uncapped,,10.296000,0.035456601
Uncapped,,10.554000,0.035256848
Uncapped,,10.658000,0.035138046
Uncapped,,10.810000,0.035101960
Uncapped,,10.860000,0.035086997
Uncapped,,11.062000,0.035001357
Uncapped,,11.272000,0.034973916
Uncapped,,11.336000,0.034872672
Uncapped,,11.410000,0.034650692
Uncapped,,11.416000,0.034466803
Uncapped,,11.766000,0.034427212
Uncapped,,12.062000,0.034296122
Uncapped,,12.426000,0.034220925
Uncapped,,12.792000,0.033961281
Uncapped,,12.926000,0.033792462
Uncapped,,13.208000,0.033657258
Uncapped,,13.498000,0.033559441
Uncapped,,13.626000,0.033483347
Uncapped,,13.772000,0.033329464
Uncapped,,14.022000,0.033304656
Uncapped,,14.368000,0.033270221
Uncapped,,14.374000,0.033072334
Uncapped,,14.522000,0.033028187
Uncapped,,14.858000,0.032916616
Uncapped,,15.012000,0.032854277
Uncapped,,15.182000,0.032815801
Uncapped,,15.362000,0.032712289
Uncapped,,15.540000,0.032670192
Uncapped,,15.710000,0.032568176
Uncapped,,15.880000,0.032565239
Uncapped,,16.000000,0.032462590
Uncapped,,16.240000,0.032342907
Uncapped,,16.468000,0.032224328
Uncapped,,16.636000,0.032148907
Uncapped,,16.916000,0.032109647
Uncapped,,17.126000,0.032049464
Uncapped,,17.328000,0.031989139
Uncapped,,17.418000,0.031974382
Uncapped,,17.616000,0.031888218
Uncapped,,17.842000,0.031759712
Uncapped,,18.026000,0.031750653
Uncapped,,18.182000,0.031578082
Uncapped,,18.366000,0.031491248
Uncapped,,18.544000,0.031436423
Uncapped,,18.732000,0.031407049
Uncapped,,19.008000,0.031375381
Uncapped,,19.246000,0.031344594
Uncapped,,19.456000,0.031293746
Uncapped,,19.706000,0.031204585
Uncapped,,19.784000,0.031143560
Uncapped,,20.084000,0.031097196
Uncapped,,20.266000,0.031063288
Uncapped,,20.444000,0.031044324
Uncapped,,20.562000,0.031043776
Uncapped,,20.628000,0.031025834
Uncapped,,20.744000,0.030986659
Uncapped,,20.842000,0.030926321
Uncapped,,21.068000,0.030881811
Uncapped,,21.130000,0.030837160
Uncapped,,21.470000,0.030757328
Uncapped,,21.730000,0.030685441
Uncapped,,21.750000,0.030682545
Uncapped,,22.046000,0.030594684
Uncapped,,22.268000,0.030502138
Uncapped,,22.584000,0.030369055
Uncapped,,22.862000,0.030292909
Uncapped,,23.078000,0.030207785
Uncapped,,23.368000,0.030143547
Uncapped,,23.620000,0.030021772
Uncapped,,24.094000,0.030002378
Uncapped,,24.316000,0.029998819
Uncapped,,24.836000,0.029984423
Uncapped,,25.406000,0.029942072
Uncapped,,25.874000,0.029877093
Uncapped,,26.172000,0.029868888
Uncapped,,26.784000,0.029852208
Uncapped,,27.226000,0.029842658
PC90,15824.323,1.392000,0.045465986
PC90,15824.323,1.404000,0.045452880
PC90,15824.323,1.406000,0.045394426
PC90,15824.323,1.420000,0.045292439
PC90,15824.323,1.424000,0.045170921
PC90,15824.323,1.526000,0.045069918
PC90,15824.323,1.534000,0.045045720
