Algorithm,WaitingTime,Energy
GA_WaitingTime_Dominance,4.378000,0.089450145
GA_WaitingTime_Dominance,4.434000,0.089375522
GA_WaitingTime_Dominance,4.474000,0.088611875
GA_WaitingTime_Dominance,4.482000,0.088108402
GA_WaitingTime_Dominance,4.628000,0.087931556
GA_WaitingTime_Dominance,4.652000,0.087928555
GA_WaitingTime_Dominance,4.654000,0.087517710
GA_WaitingTime_Dominance,4.884000,0.087324845
GA_WaitingTime_Dominance,5.030000,0.087217661
GA_WaitingTime_Dominance,5.036000,0.087133110
GA_WaitingTime_Dominance,5.102000,0.087040471
GA_WaitingTime_Dominance,5.126000,0.087040461
GA_WaitingTime_Dominance,5.144000,0.086966339
GA_WaitingTime_Dominance,5.156000,0.086748532
GA_WaitingTime_Dominance,5.166000,0.086356954
GA_WaitingTime_Dominance,5.240000,0.085903552
GA_WaitingTime_Dominance,5.338000,0.085856375
GA_WaitingTime_Dominance,5.486000,0.085755805
GA_WaitingTime_Dominance,5.564000,0.085656568
GA_WaitingTime_Dominance,5.674000,0.085250592
GA_Energy_Dominance,8.354000,0.087400113
GA_Energy_Dominance,8.432000,0.087071372
GA_Energy_Dominance,8.766000,0.084554747
GA_Energy_Dominance,8.912000,0.083644452
GA_Energy_Dominance,9.114000,0.083519347
GA_Energy_Dominance,9.136000,0.083123831
GA_Energy_Dominance,9.272000,0.081318289
GA_Energy_Dominance,9.318000,0.081106389
GA_Energy_Dominance,9.604000,0.080992473
GA_Energy_Dominance,9.624000,0.080475920
GA_Energy_Dominance,9.716000,0.080300465
GA_Energy_Dominance,9.920000,0.080272842
GA_Energy_Dominance,10.058000,0.080239817
GA_Energy_Dominance,10.090000,0.080212976
GA_Energy_Dominance,10.094000,0.079452104
GA_Energy_Dominance,10.116000,0.079107482
GA_Energy_Dominance,10.256000,0.078799505
GA_Energy_Dominance,10.534000,0.078674470
GA_Energy_Dominance,10.658000,0.078638619
GA_Energy_Dominance,10.758000,0.078575644
GA_Energy_Dominance,10.798000,0.078520224
GA_Energy_Dominance,10.930000,0.078461742
GA_Energy_Dominance,10.960000,0.078319968
GA_Energy_Dominance,11.064000,0.078008159
GA_Energy_Dominance,11.240000,0.077453923
GA_Energy_Dominance,11.782000,0.077434221
GA_Energy_Dominance,11.814000,0.077133227
GA_Energy_Dominance,11.914000,0.077032545
GA_Energy_Dominance,12.194000,0.076897879
GA_Energy_Dominance,12.364000,0.076854606
GA_Energy_Dominance,12.374000,0.076508291
GA_Energy_Dominance,12.590000,0.076425339
GA_Energy_Dominance,12.658000,0.075611665
GA_Energy_Dominance,12.798000,0.075343943
GA_Energy_Dominance,12.844000,0.075325000
GA_Energy_Dominance,12.974000,0.075015255
GA_Energy_Dominance,13.304000,0.074946514
GA_Energy_Dominance,13.494000,0.074481832
GA_Energy_Dominance,13.650000,0.074324908
GA_Energy_Dominance,13.872000,0.074218585
GA_Energy_Dominance,14.058000,0.074031936
GA_Energy_Dominance,14.104000,0.074021655
GA_Energy_Dominance,14.282000,0.073785206
GA_Energy_Dominance,14.366000,0.073722964
GA_Energy_Dominance,14.614000,0.073643800
GA_Energy_Dominance,14.638000,0.073538550
GA_Energy_Dominance,14.660000,0.073513132
GA_Energy_Dominance,14.842000,0.073447563
GA_Energy_Dominance,14.946000,0.073379011
GA_Energy_Dominance,14.964000,0.073348927
GA_Energy_Dominance,15.160000,0.073339631
GA_Energy_Dominance,15.234000,0.073308521
GA_Energy_Dominance,15.548000,0.073216564
GA_Energy_Dominance,15.582000,0.073094746
GA_Energy_Dominance,15.828000,0.073029452
GA_Energy_Dominance,15.878000,0.072939821
GA_Energy_Dominance,16.292000,0.072858407
GA_Energy_Dominance,16.308000,0.072718308
GA_Energy_Dominance,16.564000,0.072705102
GA_Energy_Dominance,16.950000,0.072594448
GA_Energy_Dominance,17.218000,0.072579901
GA_Energy_Dominance,17.248000,0.072556782
GA_Energy_Dominance,17.436000,0.072456056
GA_Energy_Dominance,25.030000,0.071687341
GA_Energy_Dominance,26.116000,0.070763566
GA_Energy_Dominance,28.870000,0.070571326
