Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_Makespan_Dominance,200,0.044716,0.001067,0.612723,0.000000,1,1,0,3049,0.252988,
GA_Makespan_Dominance,201,0.023763,0.006887,0.630191,0.000000,1,1,0,2909,0.237150,
GA_Makespan_Dominance,202,0.045777,0.000000,0.611910,0.000000,1,1,1,2935,0.253818,
GA_Makespan_Dominance,203,0.036961,0.006344,0.618096,0.000000,2,2,0,3055,0.246930,
GA_Makespan_Dominance,204,0.067223,0.015055,0.594313,0.000000,1,1,0,3009,0.269741,
GA_Makespan_Dominance,205,0.036923,0.006948,0.618703,0.000000,1,1,0,2872,0.246900,
GA_Makespan_Dominance,206,0.000000,0.000000,0.650675,0.000000,1,1,1,2925,0.219073,
GA_Makespan_Dominance,207,0.083353,0.001636,0.581643,0.000000,2,2,1,3006,0.282522,
GA_Makespan_Dominance,208,0.030633,0.000000,0.624689,0.000000,1,1,1,2927,0.242516,
GA_Makespan_Dominance,209,0.011249,0.000000,0.640870,0.000000,1,1,1,2947,0.227675,
GA_Makespan_Dominance,MEAN,0.038060,0.003794,0.618381,0.000000,1,1,5,2963,0.247931,10
GA_Makespan_Dominance,STDDEV,0.023314,0.004717,0.019316,0.000000,,,,,0.017673,
GA_Energy_Dominance,200,0.401025,0.173962,0.193884,0.047943,43,43,2,3778,0.541572,
GA_Energy_Dominance,201,0.329497,0.199273,0.226785,0.052086,35,35,0,3718,0.487079,
GA_Energy_Dominance,202,0.394891,0.142650,0.189308,0.053640,41,41,2,3709,0.534881,
GA_Energy_Dominance,203,0.365980,0.181509,0.218030,0.037802,42,42,0,3783,0.519414,
GA_Energy_Dominance,204,0.338617,0.193504,0.226592,0.038340,37,37,1,3764,0.499344,
GA_Energy_Dominance,205,0.247393,0.238742,0.273130,0.041093,48,48,1,3754,0.432928,
GA_Energy_Dominance,206,0.374453,0.190980,0.204512,0.025696,52,52,2,3781,0.524750,
GA_Energy_Dominance,207,0.364071,0.188699,0.205860,0.035752,46,46,0,3677,0.510981,
GA_Energy_Dominance,208,0.342124,0.219489,0.220296,0.038895,42,42,0,3651,0.497259,
GA_Energy_Dominance,209,0.425780,0.135907,0.180034,0.037908,46,46,17,3746,0.556414,
GA_Energy_Dominance,MEAN,0.358383,0.186471,0.213843,0.040915,43,43,25,3736,0.510462,10
GA_Energy_Dominance,STDDEV,0.046744,0.029528,0.024896,0.007898,,,,,0.032889,
SA_Makespan_Dominance,200,0.433295,0.042755,0.383014,0.314565,3,3,2,1798,0.494940,
SA_Makespan_Dominance,201,0.360972,0.026121,0.420359,0.170631,5,5,4,1779,0.426183,
SA_Makespan_Dominance,202,0.406718,0.064133,0.394422,0.000000,2,2,1,1792,0.470084,
SA_Makespan_Dominance,203,0.346581,0.048105,0.426759,0.221044,3,3,0,1792,0.415058,
SA_Makespan_Dominance,204,0.341836,0.088474,0.432645,0.204568,3,3,1,1760,0.406696,
SA_Makespan_Dominance,205,0.395381,0.027301,0.397391,0.006514,10,10,8,1825,0.450237,
SA_Makespan_Dominance,206,0.415713,0.088849,0.390757,0.280803,3,3,1,1836,0.475289,
SA_Makespan_Dominance,207,0.364408,0.090432,0.420461,0.214483,3,3,0,1767,0.424413,
SA_Makespan_Dominance,208,0.145455,0.000000,0.540153,0.000000,1,1,1,1735,0.330791,
SA_Makespan_Dominance,209,0.334072,0.044258,0.440193,0.194369,3,3,2,1762,0.400191,
SA_Makespan_Dominance,MEAN,0.354443,0.052043,0.424615,0.160698,4,4,20,1784,0.429388,10
SA_Makespan_Dominance,STDDEV,0.076703,0.029081,0.042692,0.111001,,,,,0.044524,
SA_Energy_Dominance,200,0.366744,0.132070,0.314723,0.147088,6,6,0,1838,0.488149,
