Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_Makespan_Dominance,200,0.001248,0.003305,0.680878,0.000000,2,2,1,2628,0.294637,
GA_Makespan_Dominance,201,0.003897,0.033853,0.692600,0.002586,5,5,0,2200,0.270524,
GA_Makespan_Dominance,202,0.111418,0.017448,0.593579,0.000084,3,3,0,2186,0.369831,
GA_Makespan_Dominance,203,0.001898,0.010381,0.686537,0.000000,2,2,0,2172,0.286949,
GA_Makespan_Dominance,204,0.003160,0.002430,0.681052,0.000040,4,4,0,2204,0.295542,
GA_Makespan_Dominance,205,0.083918,0.042741,0.619450,0.000000,1,1,0,2131,0.351584,
GA_Makespan_Dominance,206,0.015918,0.000414,0.669717,0.000000,2,2,1,2158,0.304942,
GA_Makespan_Dominance,207,0.016758,0.000000,0.669112,0.000000,2,2,2,2231,0.305520,
GA_Makespan_Dominance,208,0.077492,0.049201,0.624073,0.000000,1,1,0,2146,0.347044,
GA_Makespan_Dominance,209,0.014972,0.003822,0.668052,0.003309,3,3,0,2175,0.303604,
GA_Makespan_Dominance,MEAN,0.033068,0.016359,0.658505,0.000602,3,3,4,2223,0.313018,10
GA_Makespan_Dominance,STDDEV,0.039135,0.017779,0.031957,0.001184,,,,,0.030350,
GA_Energy_Dominance,200,0.440624,0.161058,0.175395,0.030485,44,44,6,2734,0.606404,
GA_Energy_Dominance,201,0.417594,0.177171,0.186606,0.030421,41,41,0,2702,0.587466,
GA_Energy_Dominance,202,0.327023,0.215221,0.234503,0.029556,57,57,3,2801,0.535068,
GA_Energy_Dominance,203,0.237288,0.269115,0.281963,0.034039,43,43,2,2840,0.475791,
GA_Energy_Dominance,204,0.379994,0.213898,0.214181,0.021851,51,51,1,2724,0.568389,
GA_Energy_Dominance,205,0.412245,0.118836,0.249674,0.006067,33,33,0,2420,0.571054,
GA_Energy_Dominance,206,0.449644,0.141376,0.168835,0.013557,47,47,0,2620,0.608561,
GA_Energy_Dominance,207,0.429400,0.158710,0.176902,0.022439,52,52,11,2586,0.594387,
GA_Energy_Dominance,208,0.379259,0.179693,0.208399,0.017582,51,51,3,2716,0.567612,
GA_Energy_Dominance,209,0.263775,0.224139,0.262772,0.039356,45,45,2,2799,0.495031,
GA_Energy_Dominance,MEAN,0.373685,0.185922,0.215923,0.024535,46,46,28,2694,0.560976,10
GA_Energy_Dominance,STDDEV,0.070500,0.042405,0.037871,0.009627,,,,,0.043154,
SA_Makespan_Dominance,200,0.472807,0.076745,0.416126,0.325720,3,3,0,1383,0.524167,
SA_Makespan_Dominance,201,0.129014,0.002566,0.581805,0.001180,7,7,4,1358,0.383701,
SA_Makespan_Dominance,202,0.444281,0.167593,0.438552,0.235715,4,4,1,1360,0.495484,
SA_Makespan_Dominance,203,0.172984,0.003658,0.555720,0.001961,4,4,1,1325,0.413264,
SA_Makespan_Dominance,204,0.423395,0.147295,0.455462,0.256647,3,3,1,1349,0.477251,
SA_Makespan_Dominance,205,0.478102,0.147887,0.416864,0.323164,3,3,1,1359,0.528179,
SA_Makespan_Dominance,206,0.440623,0.122116,0.424742,0.002708,4,4,0,1359,0.494199,
SA_Makespan_Dominance,207,0.457527,0.155944,0.402197,0.337754,3,3,0,1377,0.510884,
SA_Makespan_Dominance,208,0.478765,0.110308,0.397181,0.000000,2,2,1,1370,0.531476,
