CapTier,CapWatts,Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
Uncapped,,GA_WaitingTime_Dominance,200,0.142155,0.003271,0.536205,0.004888,11,11,5,6215,0.249690,
Uncapped,,GA_WaitingTime_Dominance,201,0.131300,0.004118,0.548643,0.002200,8,8,0,4546,0.240071,
Uncapped,,GA_WaitingTime_Dominance,202,0.141879,0.004383,0.537565,0.002887,12,12,0,4248,0.249386,
Uncapped,,GA_WaitingTime_Dominance,203,0.137116,0.009861,0.539862,0.001901,15,15,0,4331,0.245071,
Uncapped,,GA_WaitingTime_Dominance,204,0.154396,0.000622,0.531055,0.004604,7,7,5,4051,0.260309,
Uncapped,,GA_WaitingTime_Dominance,205,0.152744,0.001114,0.535969,0.001878,8,8,2,4132,0.258902,
Uncapped,,GA_WaitingTime_Dominance,206,0.124352,0.017590,0.541278,0.013952,9,9,0,3966,0.234098,
Uncapped,,GA_WaitingTime_Dominance,207,0.133832,0.016575,0.536507,0.002632,14,14,0,4157,0.242427,
Uncapped,,GA_WaitingTime_Dominance,208,0.142434,0.002155,0.544043,0.001925,6,6,0,4033,0.249733,
Uncapped,,GA_WaitingTime_Dominance,209,0.143684,0.002512,0.541894,0.001776,9,9,0,4233,0.250866,
Uncapped,,GA_WaitingTime_Dominance,MEAN,0.140389,0.006220,0.539302,0.003864,10,10,12,4391,0.248055,10
Uncapped,,GA_WaitingTime_Dominance,STDDEV,0.008733,0.005949,0.004693,0.003529,,,,,0.007630,
Uncapped,,GA_Energy_Dominance,200,0.670386,0.045318,0.089408,0.007008,81,81,18,5791,0.734021,
Uncapped,,GA_Energy_Dominance,201,0.663752,0.047620,0.092243,0.007900,84,84,18,6309,0.729960,
Uncapped,,GA_Energy_Dominance,202,0.660903,0.043820,0.101543,0.008122,91,91,13,5685,0.721950,
Uncapped,,GA_Energy_Dominance,203,0.631744,0.070120,0.113704,0.006291,90,90,14,5795,0.708198,
Uncapped,,GA_Energy_Dominance,204,0.659463,0.050105,0.096048,0.010147,86,86,0,5467,0.718896,
Uncapped,,GA_Energy_Dominance,205,0.574173,0.078389,0.168910,0.015186,90,90,13,5072,0.631355,
Uncapped,,GA_Energy_Dominance,206,0.639703,0.068529,0.119063,0.005822,88,88,0,5418,0.700838,
Uncapped,,GA_Energy_Dominance,207,0.621824,0.082903,0.113303,0.008924,75,75,2,5881,0.700540,
Uncapped,,GA_Energy_Dominance,208,0.659955,0.052711,0.095826,0.006079,104,104,15,5332,0.713854,
Uncapped,,GA_Energy_Dominance,209,0.638501,0.072955,0.110310,0.006808,105,105,0,6178,0.700681,
Uncapped,,GA_Energy_Dominance,MEAN,0.642040,0.061247,0.110036,0.008229,89,89,93,5692,0.706029,10
Uncapped,,GA_Energy_Dominance,STDDEV,0.027192,0.014042,0.021872,0.002653,,,,,0.027392,
Uncapped,,SA_WaitingTime_Dominance,200,0.111274,0.021724,0.548636,0.008665,16,16,0,2335,0.219920,
Uncapped,,SA_WaitingTime_Dominance,201,0.114541,0.027414,0.543414,0.003509,28,28,0,2424,0.226547,
Uncapped,,SA_WaitingTime_Dominance,202,0.106507,0.028462,0.550591,0.002841,20,20,6,2350,0.219556,
Uncapped,,SA_WaitingTime_Dominance,203,0.109426,0.019463,0.550351,0.002238,19,19,8,2298,0.221618,
Uncapped,,SA_WaitingTime_Dominance,204,0.116659,0.024241,0.545284,0.001654,30,30,0,2333,0.221228,
Uncapped,,SA_WaitingTime_Dominance,205,0.113478,0.015808,0.547161,0.001626,34,34,0,2445,0.221806,
Uncapped,,SA_WaitingTime_Dominance,206,0.107400,0.012373,0.550071,0.001313,28,28,4,2159,0.220367,
Uncapped,,SA_WaitingTime_Dominance,207,0.110490,0.008008,0.547908,0.001109,21,22,3,2287,0.222740,
Uncapped,,SA_WaitingTime_Dominance,208,0.140138,0.030510,0.536259,0.001993,34,34,0,2447,0.218767,
Uncapped,,SA_WaitingTime_Dominance,209,0.143719,0.035376,0.532331,0.005080,38,38,0,2600,0.224569,
Uncapped,,SA_WaitingTime_Dominance,MEAN,0.117363,0.022338,0.545201,0.003003,27,27,21,2367,0.221712,10
Uncapped,,SA_WaitingTime_Dominance,STDDEV,0.012654,0.008122,0.005925,0.002200,,,,,0.002263,
Uncapped,,SA_Energy_Dominance,200,0.555170,0.142313,0.178886,0.003361,110,111,0,3256,0.627088,
Uncapped,,SA_Energy_Dominance,201,0.582056,0.111989,0.165062,0.003279,137,139,0,3302,0.646209,
Uncapped,,SA_Energy_Dominance,202,0.515850,0.105320,0.246831,0.002442,84,87,0,3434,0.576850,
Uncapped,,SA_Energy_Dominance,203,0.526544,0.142531,0.196297,0.004345,107,109,0,3020,0.594549,
Uncapped,,SA_Energy_Dominance,204,0.538653,0.115126,0.222449,0.003905,100,101,4,2676,0.599976,
Uncapped,,SA_Energy_Dominance,205,0.511797,0.106404,0.238045,0.002500,109,110,0,2911,0.574945,
Uncapped,,SA_Energy_Dominance,206,0.514012,0.125757,0.226388,0.002790,90,91,0,2883,0.578641,
Uncapped,,SA_Energy_Dominance,207,0.549530,0.123742,0.193150,0.002999,121,122,0,3127,0.614077,
Uncapped,,SA_Energy_Dominance,208,0.547057,0.125689,0.179653,0.003993,96,96,0,3280,0.613619,
Uncapped,,SA_Energy_Dominance,209,0.586825,0.094442,0.170131,0.002671,113,114,0,3156,0.645353,
Uncapped,,SA_Energy_Dominance,MEAN,0.542749,0.119331,0.201689,0.003228,107,108,4,3104,0.607131,10
Uncapped,,SA_Energy_Dominance,STDDEV,0.025482,0.014907,0.028010,0.000633,,,,,0.025398,
Uncapped,,NSGA-II,200,0.571962,0.013509,0.226236,0.004257,51,51,2,8637,0.626062,
Uncapped,,NSGA-II,201,0.579581,0.006542,0.249608,0.005065,46,46,19,8580,0.631683,
Uncapped,,NSGA-II,202,0.538144,0.016538,0.243810,0.003817,45,45,0,8073,0.595713,
Uncapped,,NSGA-II,203,0.546826,0.010138,0.255315,0.004958,45,45,5,8283,0.603422,
Uncapped,,NSGA-II,204,0.530475,0.011936,0.256290,0.003776,43,43,0,7915,0.588445,
Uncapped,,NSGA-II,205,0.546535,0.006616,0.248118,0.003209,49,49,6,7890,0.602610,
Uncapped,,NSGA-II,206,0.555268,0.010902,0.259856,0.002837,45,45,0,7808,0.610606,
Uncapped,,NSGA-II,207,0.529557,0.019002,0.253909,0.005250,41,41,0,8298,0.588111,
Uncapped,,NSGA-II,208,0.524666,0.015180,0.260758,0.004315,43,43,0,8261,0.583503,
Uncapped,,NSGA-II,209,0.520360,0.004256,0.272951,0.002913,43,43,21,7723,0.579373,
Uncapped,,NSGA-II,MEAN,0.544337,0.011462,0.252685,0.004040,45,45,53,8146,0.600953,10
Uncapped,,NSGA-II,STDDEV,0.018832,0.004500,0.011651,0.000837,,,,,0.016721,
Uncapped,,SPEA-II,200,0.449896,0.016994,0.318118,0.001529,41,41,0,8548,0.518039,
Uncapped,,SPEA-II,201,0.423113,0.017848,0.331168,0.001254,47,47,0,8851,0.494588,
Uncapped,,SPEA-II,202,0.519627,0.016216,0.271765,0.005747,48,48,0,8881,0.579630,
Uncapped,,SPEA-II,203,0.318629,0.018115,0.410671,0.002471,29,29,0,8860,0.402454,
Uncapped,,SPEA-II,204,0.504875,0.001393,0.302249,0.003702,39,39,22,8939,0.566241,
Uncapped,,SPEA-II,205,0.545179,0.022061,0.245333,0.005376,55,55,0,9209,0.602645,
Uncapped,,SPEA-II,206,0.477399,0.008499,0.311402,0.002170,38,38,7,8082,0.542039,
Uncapped,,SPEA-II,207,0.476911,0.028113,0.283360,0.006762,41,41,0,8940,0.542005,
