Algorithm,WaitingTime,Energy
GA_WaitingTime_Dominance,1.418000,0.046091287
GA_WaitingTime_Dominance,1.420000,0.046018762
GA_WaitingTime_Dominance,1.422000,0.045963229
GA_WaitingTime_Dominance,1.424000,0.045781889
GA_WaitingTime_Dominance,1.430000,0.045743366
GA_WaitingTime_Dominance,1.434000,0.045490490
GA_WaitingTime_Dominance,1.436000,0.045150086
GA_WaitingTime_Dominance,1.442000,0.045073331
GA_WaitingTime_Dominance,1.446000,0.045025267
GA_WaitingTime_Dominance,1.462000,0.044994958
GA_WaitingTime_Dominance,1.502000,0.044967345
GA_WaitingTime_Dominance,3.022000,0.044718838
GA_WaitingTime_Dominance,3.452000,0.044545570
GA_WaitingTime_Dominance,4.082000,0.044475040
GA_WaitingTime_Dominance,4.194000,0.044447819
GA_WaitingTime_Dominance,4.444000,0.044268209
GA_WaitingTime_Dominance,4.978000,0.044263780
GA_Energy_Dominance,2.980000,0.046813953
GA_Energy_Dominance,2.984000,0.044539579
GA_Energy_Dominance,2.996000,0.044482399
GA_Energy_Dominance,3.204000,0.044283625
GA_Energy_Dominance,3.224000,0.044082693
GA_Energy_Dominance,3.288000,0.043795651
GA_Energy_Dominance,3.424000,0.043759555
GA_Energy_Dominance,3.478000,0.043662182
GA_Energy_Dominance,3.482000,0.043138351
GA_Energy_Dominance,3.690000,0.042627686
GA_Energy_Dominance,3.826000,0.042455273
GA_Energy_Dominance,3.898000,0.042330872
GA_Energy_Dominance,4.118000,0.041900129
GA_Energy_Dominance,4.206000,0.041734965
GA_Energy_Dominance,4.484000,0.041345659
GA_Energy_Dominance,4.680000,0.041325167
GA_Energy_Dominance,4.812000,0.041043247
GA_Energy_Dominance,4.846000,0.040492392
GA_Energy_Dominance,5.106000,0.040285977
GA_Energy_Dominance,5.182000,0.040078226
GA_Energy_Dominance,5.252000,0.040042863
GA_Energy_Dominance,5.538000,0.040037933
GA_Energy_Dominance,5.574000,0.039547826
GA_Energy_Dominance,5.674000,0.039345258
GA_Energy_Dominance,5.956000,0.038918316
GA_Energy_Dominance,6.072000,0.038827384
GA_Energy_Dominance,6.222000,0.038412025
GA_Energy_Dominance,6.380000,0.038372498
GA_Energy_Dominance,6.654000,0.038260838
GA_Energy_Dominance,6.806000,0.037929818
GA_Energy_Dominance,6.860000,0.037825539
GA_Energy_Dominance,7.208000,0.037712360
GA_Energy_Dominance,7.214000,0.037598615
GA_Energy_Dominance,7.452000,0.037361120
GA_Energy_Dominance,7.578000,0.037357544
GA_Energy_Dominance,7.652000,0.037326307
GA_Energy_Dominance,7.720000,0.036875442
GA_Energy_Dominance,8.020000,0.036873306
GA_Energy_Dominance,8.100000,0.036789184
GA_Energy_Dominance,8.250000,0.036787726
GA_Energy_Dominance,8.358000,0.036648300
GA_Energy_Dominance,8.572000,0.036609699
GA_Energy_Dominance,8.640000,0.036559828
GA_Energy_Dominance,8.710000,0.036545042
GA_Energy_Dominance,8.854000,0.036448811
GA_Energy_Dominance,8.856000,0.036279747
GA_Energy_Dominance,8.932000,0.036243619
GA_Energy_Dominance,9.024000,0.036041174
GA_Energy_Dominance,9.344000,0.035942902
GA_Energy_Dominance,9.730000,0.035827199
GA_Energy_Dominance,9.746000,0.035782738
GA_Energy_Dominance,9.836000,0.035698241
GA_Energy_Dominance,9.954000,0.035677619
GA_Energy_Dominance,10.206000,0.035565920
GA_Energy_Dominance,10.234000,0.035516899
GA_Energy_Dominance,10.296000,0.035456601
GA_Energy_Dominance,10.594000,0.035312329
GA_Energy_Dominance,10.788000,0.035234069
GA_Energy_Dominance,10.860000,0.035086997
GA_Energy_Dominance,11.062000,0.035001357
GA_Energy_Dominance,11.272000,0.034973916
GA_Energy_Dominance,11.336000,0.034872672
GA_Energy_Dominance,11.410000,0.034650692
GA_Energy_Dominance,11.416000,0.034466803
GA_Energy_Dominance,11.766000,0.034427212
GA_Energy_Dominance,12.062000,0.034296122
GA_Energy_Dominance,12.426000,0.034220925
GA_Energy_Dominance,12.792000,0.033961281
GA_Energy_Dominance,12.926000,0.033792462
GA_Energy_Dominance,13.208000,0.033657258
GA_Energy_Dominance,13.498000,0.033559441
GA_Energy_Dominance,13.626000,0.033483347
GA_Energy_Dominance,13.772000,0.033329464
GA_Energy_Dominance,14.022000,0.033304656
GA_Energy_Dominance,14.368000,0.033270221
GA_Energy_Dominance,14.374000,0.033072334
GA_Energy_Dominance,14.522000,0.033028187
GA_Energy_Dominance,14.858000,0.032916616
GA_Energy_Dominance,15.012000,0.032854277
GA_Energy_Dominance,15.182000,0.032815801
GA_Energy_Dominance,15.362000,0.032712289
GA_Energy_Dominance,15.540000,0.032670192
GA_Energy_Dominance,15.710000,0.032568176
GA_Energy_Dominance,15.880000,0.032565239
GA_Energy_Dominance,16.000000,0.032462590
GA_Energy_Dominance,16.240000,0.032342907
GA_Energy_Dominance,16.468000,0.032224328
GA_Energy_Dominance,16.636000,0.032148907
GA_Energy_Dominance,16.916000,0.032109647
GA_Energy_Dominance,17.126000,0.032049464
GA_Energy_Dominance,17.328000,0.031989139
GA_Energy_Dominance,17.418000,0.031974382
GA_Energy_Dominance,17.616000,0.031888218
GA_Energy_Dominance,17.842000,0.031759712
GA_Energy_Dominance,18.026000,0.031750653
GA_Energy_Dominance,18.182000,0.031578082
GA_Energy_Dominance,18.366000,0.031491248
GA_Energy_Dominance,18.544000,0.031436423
GA_Energy_Dominance,18.732000,0.031407049
GA_Energy_Dominance,19.008000,0.031375381
GA_Energy_Dominance,19.246000,0.031344594
GA_Energy_Dominance,19.456000,0.031293746
GA_Energy_Dominance,19.706000,0.031204585
GA_Energy_Dominance,19.784000,0.031143560
GA_Energy_Dominance,20.084000,0.031097196
GA_Energy_Dominance,20.266000,0.031063288
GA_Energy_Dominance,20.444000,0.031044324
GA_Energy_Dominance,20.562000,0.031043776
GA_Energy_Dominance,20.628000,0.031025834
GA_Energy_Dominance,20.744000,0.030986659
GA_Energy_Dominance,20.842000,0.030926321
GA_Energy_Dominance,21.068000,0.030881811
GA_Energy_Dominance,21.130000,0.030837160
GA_Energy_Dominance,21.470000,0.030757328
GA_Energy_Dominance,21.730000,0.030685441
GA_Energy_Dominance,21.750000,0.030682545
GA_Energy_Dominance,22.046000,0.030594684
GA_Energy_Dominance,22.268000,0.030502138
GA_Energy_Dominance,22.584000,0.030369055
GA_Energy_Dominance,22.862000,0.030292909
