Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs
GA_Makespan_Dominance,200,0.000000,0.230148,0.854701,0.000000,1,1,0,2207
GA_Makespan_Dominance,201,0.001494,0.275555,0.865019,0.000000,2,2,0,2170
GA_Makespan_Dominance,202,0.021204,0.281436,0.823535,0.048927,5,5,0,2167
GA_Makespan_Dominance,203,0.020684,0.288754,0.852663,0.000000,2,2,0,2151
GA_Makespan_Dominance,204,0.004584,0.230452,0.849400,0.000000,2,2,0,2203
GA_Makespan_Dominance,205,0.005462,0.208509,0.843641,0.000000,2,2,0,2173
GA_Makespan_Dominance,206,0.001095,0.213717,0.838614,0.000000,2,2,0,2169
GA_Makespan_Dominance,207,0.000000,0.238102,0.857000,0.000000,1,1,0,2169
GA_Makespan_Dominance,208,0.002143,0.241385,0.853029,0.000000,2,2,0,2142
GA_Makespan_Dominance,209,0.000000,0.245342,0.859091,0.000000,1,1,0,2180
GA_Makespan_Dominance,MEAN,0.005667,0.245340,0.849669,0.004893,2,2,0,2173
GA_Makespan_Dominance,STDDEV,0.007843,0.026415,0.011249,0.014678,,,,
GA_Energy_Dominance,200,0.363075,0.260075,0.291876,0.109454,22,22,0,2341
GA_Energy_Dominance,201,0.275491,0.307190,0.386063,0.110745,20,20,3,2352
GA_Energy_Dominance,202,0.429896,0.303896,0.302629,0.081688,32,32,0,2330
GA_Energy_Dominance,203,0.493390,0.294493,0.260109,0.159195,11,11,0,2287
GA_Energy_Dominance,204,0.471847,0.266417,0.271376,0.163384,16,16,0,2342
GA_Energy_Dominance,205,0.491424,0.281659,0.272662,0.125734,16,16,0,2327
GA_Energy_Dominance,206,0.528029,0.209343,0.253655,0.243698,14,14,0,2351
GA_Energy_Dominance,207,0.387812,0.137834,0.422178,0.022945,15,15,0,2223
GA_Energy_Dominance,208,0.496092,0.258000,0.267320,0.133743,16,16,0,3258
GA_Energy_Dominance,209,0.474691,0.244934,0.270476,0.188599,10,10,0,3240
GA_Energy_Dominance,MEAN,0.441175,0.256384,0.299834,0.133918,17,17,3,2505
GA_Energy_Dominance,STDDEV,0.073757,0.048420,0.054454,0.057266,,,,
SA_Makespan_Dominance,200,0.632668,0.387589,0.292659,0.492611,4,4,0,1918
SA_Makespan_Dominance,201,0.702795,0.326702,0.349072,0.446238,3,3,1,1950
SA_Makespan_Dominance,202,0.386792,0.000000,0.550300,0.000000,1,1,1,1967
SA_Makespan_Dominance,203,0.708093,0.363702,0.273595,0.537227,4,4,1,1949
SA_Makespan_Dominance,204,0.375828,0.011445,0.556472,0.000000,1,1,0,1673
SA_Makespan_Dominance,205,0.260363,0.131981,0.623544,0.000000,1,1,0,1330
SA_Makespan_Dominance,206,0.660424,0.374882,0.284449,0.477918,4,4,0,1335
SA_Makespan_Dominance,207,0.352730,0.035558,0.569600,0.000000,1,1,0,1332
SA_Makespan_Dominance,208,0.305856,0.089252,0.584974,0.000000,2,2,0,1307
SA_Makespan_Dominance,209,0.272903,0.134608,0.591532,0.000000,2,2,0,1307
SA_Makespan_Dominance,MEAN,0.465845,0.185572,0.467620,0.195399,2,2,3,1606
SA_Makespan_Dominance,STDDEV,0.176837,0.151758,0.139439,0.240209,,,,
SA_Energy_Dominance,200,0.666003,0.155028,0.183071,0.028275,14,14,1,1320
SA_Energy_Dominance,201,0.683454,0.002544,0.212552,0.618541,3,3,2,1367
SA_Energy_Dominance,202,0.635706,0.064700,0.261041,0.236748,4,4,0,1375
SA_Energy_Dominance,203,0.693092,0.114276,0.181579,0.136834,13,13,5,1381
SA_Energy_Dominance,204,0.671203,0.087766,0.253728,0.065255,7,7,1,1358
SA_Energy_Dominance,205,0.505511,0.115719,0.256145,0.581275,4,4,0,1436
SA_Energy_Dominance,206,0.538909,0.114782,0.251186,0.561001,5,5,0,1393
SA_Energy_Dominance,207,0.653310,0.003815,0.299068,0.000000,2,2,1,1363
SA_Energy_Dominance,208,0.659041,0.151299,0.184877,0.089330,13,13,0,1369
SA_Energy_Dominance,209,0.554531,0.192061,0.257320,0.037739,3,3,0,1378
SA_Energy_Dominance,MEAN,0.626076,0.100199,0.234057,0.235500,7,7,10,1374
SA_Energy_Dominance,STDDEV,0.063708,0.059118,0.038599,0.238711,,,,
NSGA-II,200,0.443739,0.290690,0.340178,0.033258,16,16,0,3395
NSGA-II,201,0.419155,0.273086,0.295151,0.065581,14,14,0,3394
NSGA-II,202,0.408892,0.307583,0.330085,0.020187,15,15,0,3425
NSGA-II,203,0.444323,0.280654,0.316290,0.023296,26,26,0,3362
NSGA-II,204,0.443842,0.285399,0.343083,0.014839,25,25,0,3408
NSGA-II,205,0.463579,0.252096,0.314194,0.024288,19,19,0,3318
NSGA-II,206,0.440474,0.291969,0.289230,0.025878,25,25,0,3389
NSGA-II,207,0.432561,0.267150,0.335044,0.033401,13,13,0,3330
NSGA-II,208,0.421296,0.243035,0.265643,0.035745,11,11,0,3401
NSGA-II,209,0.398872,0.202162,0.393515,0.048209,13,13,0,3257
NSGA-II,MEAN,0.431673,0.269382,0.322241,0.032468,18,18,0,3367
NSGA-II,STDDEV,0.018464,0.028874,0.033450,0.014186,,,,
SPEA-II,200,0.402199,0.338176,0.349139,0.033290,18,18,0,3891
SPEA-II,201,0.440363,0.131687,0.307300,0.035822,5,5,1,3899
SPEA-II,202,0.450965,0.274878,0.344369,0.030703,21,21,0,3885
SPEA-II,203,0.312749,0.082593,0.540381,0.091934,4,4,0,3730
SPEA-II,204,0.391875,0.314963,0.338319,0.048153,14,14,0,3917
SPEA-II,205,0.258003,0.116382,0.591542,0.089735,4,4,0,3705
SPEA-II,206,0.405900,0.287289,0.373706,0.047229,14,14,0,3921
SPEA-II,207,0.354538,0.343688,0.342257,0.230661,9,9,0,4005
SPEA-II,208,0.500412,0.276812,0.290490,0.072788,21,21,0,3956
SPEA-II,209,0.414336,0.308709,0.334792,0.042718,17,17,0,5628
SPEA-II,MEAN,0.393134,0.247518,0.381230,0.072303,13,13,1,4053
SPEA-II,STDDEV,0.066326,0.093147,0.095510,0.056954,,,,
AMOSA,200,0.112832,0.031420,0.707005,0.000000,2,2,0,3447
AMOSA,201,0.100161,0.027187,0.717042,0.000000,2,2,0,3439
AMOSA,202,0.104570,0.028542,0.713547,0.000000,2,2,0,3435
AMOSA,203,0.082625,0.023612,0.730965,0.000000,2,2,0,4331
AMOSA,204,0.095718,0.017319,0.713136,0.000960,3,3,1,4271
AMOSA,205,0.097946,0.053196,0.698350,0.047396,4,4,0,3448
AMOSA,206,0.096540,0.186627,0.664025,0.257553,3,3,0,3447
AMOSA,207,0.095055,0.057510,0.701047,0.023179,3,3,0,4124
AMOSA,208,0.089218,0.024558,0.725726,0.000000,2,2,0,3472
AMOSA,209,0.083999,0.023764,0.729873,0.000000,2,2,0,3462
AMOSA,MEAN,0.095866,0.047373,0.710071,0.032909,3,3,1,3687
AMOSA,STDDEV,0.008648,0.048053,0.018688,0.076347,,,,
Universal_Pareto,ALL,0.854171,0.000000,0.000000,0.000000,18,18,18,0
