Algorithm,Seed,WaitingTime,Energy,IsUniversalPareto
GA_WaitingTime,200,3.858000,0.184331166,false
GA_WaitingTime,201,3.826000,0.185359993,true
GA_WaitingTime,202,3.844000,0.185742316,false
GA_WaitingTime,203,3.828000,0.184160445,true
GA_WaitingTime,204,3.864000,0.181285599,true
GA_WaitingTime,205,3.872000,0.191197761,false
GA_WaitingTime,206,3.840000,0.186817453,false
GA_WaitingTime,207,3.836000,0.188288631,false
GA_WaitingTime,208,3.856000,0.186168126,false
GA_WaitingTime,209,3.844000,0.188449592,false
GA_Energy,200,7.214000,0.133202803,false
GA_Energy,201,7.082000,0.132434207,false
GA_Energy,202,7.660000,0.131686416,false
GA_Energy,203,7.132000,0.133093321,false
GA_Energy,204,7.234000,0.131490620,true
GA_Energy,205,7.196000,0.132143451,false
GA_Energy,206,7.478000,0.133522737,false
GA_Energy,207,7.370000,0.132222869,false
GA_Energy,208,6.994000,0.131967709,true
GA_Energy,209,7.318000,0.132108520,false
SA_WaitingTime,200,4.166000,0.206330965,false
SA_WaitingTime,201,4.198000,0.202332023,false
SA_WaitingTime,202,4.524000,0.207175806,false
SA_WaitingTime,203,4.208000,0.204454305,false
SA_WaitingTime,204,4.162000,0.206642118,false
SA_WaitingTime,205,4.082000,0.200707318,false
SA_WaitingTime,206,4.456000,0.206482487,false
SA_WaitingTime,207,4.032000,0.207608600,false
SA_WaitingTime,208,4.178000,0.203148011,false
SA_WaitingTime,209,4.426000,0.212816162,false
SA_Energy,200,7.230000,0.132277096,false
SA_Energy,201,6.730000,0.133493949,true
SA_Energy,202,7.248000,0.132358244,false
SA_Energy,203,6.920000,0.134910047,false
SA_Energy,204,7.264000,0.132910819,false
SA_Energy,205,7.444000,0.132887215,false
SA_Energy,206,6.886000,0.133229007,true
SA_Energy,207,7.636000,0.132328778,false
SA_Energy,208,7.100000,0.132592457,false
SA_Energy,209,6.654000,0.135571355,true
NSGA-II,200,4.580000,0.189143064,false
NSGA-II,200,6.032000,0.154302226,false
NSGA-II,200,5.060000,0.166402899,false
NSGA-II,200,5.760000,0.155591951,false
NSGA-II,200,4.916000,0.168740762,false
NSGA-II,200,4.776000,0.174193613,false
NSGA-II,200,4.590000,0.186986194,false
NSGA-II,200,5.466000,0.160796126,false
NSGA-II,200,4.884000,0.172515309,false
NSGA-II,200,4.748000,0.176687671,false
NSGA-II,200,5.156000,0.165139440,false
NSGA-II,200,4.902000,0.169300460,false
NSGA-II,200,4.592000,0.183932956,false
NSGA-II,200,4.830000,0.172733813,false
NSGA-II,200,5.924000,0.155445542,false
NSGA-II,200,5.378000,0.161526421,false
NSGA-II,200,5.706000,0.156926768,false
NSGA-II,200,5.926000,0.155357102,false
NSGA-II,200,5.674000,0.157350935,false
NSGA-II,200,4.690000,0.178841408,false
NSGA-II,200,5.620000,0.158147949,false
NSGA-II,200,5.332000,0.161572143,false
NSGA-II,200,5.566000,0.160674773,false
NSGA-II,200,5.310000,0.162880390,false
NSGA-II,200,4.684000,0.180690964,false
NSGA-II,200,5.590000,0.159636966,false
NSGA-II,200,5.248000,0.164177486,false
NSGA-II,200,4.742000,0.178521844,false
NSGA-II,200,5.618000,0.159124301,false
NSGA-II,200,4.626000,0.183362933,false
NSGA-II,200,5.196000,0.164517276,false
NSGA-II,200,4.628000,0.182710772,false
NSGA-II,200,4.636000,0.181870630,false
NSGA-II,200,4.678000,0.181337388,false
NSGA-II,200,5.582000,0.160616438,false
NSGA-II,200,5.192000,0.164773864,false
NSGA-II,200,4.740000,0.178776897,false
NSGA-II,200,4.642000,0.181361842,false
NSGA-II,200,5.254000,0.163560240,false
NSGA-II,200,5.278000,0.163208510,false
NSGA-II,200,5.268000,0.163254878,false
NSGA-II,201,4.546000,0.189318654,false
NSGA-II,201,5.658000,0.160535545,false
NSGA-II,201,4.974000,0.166152080,false
NSGA-II,201,5.568000,0.160607823,false
NSGA-II,201,4.756000,0.169736081,false
NSGA-II,201,5.354000,0.161653647,false
NSGA-II,201,5.156000,0.164219577,false
NSGA-II,201,4.554000,0.187714200,false
NSGA-II,201,4.558000,0.182213704,false
NSGA-II,201,4.752000,0.175363573,false
NSGA-II,201,4.832000,0.169151597,false
NSGA-II,201,5.264000,0.162682644,false
NSGA-II,201,4.628000,0.179765733,false
NSGA-II,201,4.644000,0.176671271,false
