Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed,ScoredSeeds
GA_WaitingTime_Dominance,200,0.142155,0.003825,0.520261,0.004888,11,11,5,2383,0.322973,
GA_WaitingTime_Dominance,201,0.131300,0.004118,0.532658,0.002200,8,8,0,2058,0.314222,
GA_WaitingTime_Dominance,202,0.141879,0.004632,0.521596,0.002887,12,12,0,2129,0.322664,
GA_WaitingTime_Dominance,203,0.137116,0.009861,0.524075,0.001901,15,15,0,2483,0.318688,
GA_WaitingTime_Dominance,204,0.154396,0.002185,0.514691,0.004604,7,7,4,2767,0.332508,
GA_WaitingTime_Dominance,205,0.152744,0.001114,0.519462,0.001878,8,8,2,3089,0.331259,
GA_WaitingTime_Dominance,206,0.124352,0.017769,0.526158,0.013952,9,9,0,3034,0.308893,
GA_WaitingTime_Dominance,207,0.133832,0.017346,0.521279,0.002632,14,14,0,2943,0.316435,
GA_WaitingTime_Dominance,208,0.142434,0.002155,0.527661,0.001925,6,6,0,3002,0.322899,
GA_WaitingTime_Dominance,209,0.143684,0.002512,0.525613,0.001776,9,9,0,3084,0.323944,
GA_WaitingTime_Dominance,MEAN,0.140389,0.006552,0.523346,0.003864,10,10,11,2697,0.321449,10
GA_WaitingTime_Dominance,STDDEV,0.008733,0.005955,0.004752,0.003529,,,,,0.006880,
GA_Energy_Dominance,200,0.670386,0.048056,0.086620,0.007008,81,81,8,4271,0.777701,
GA_Energy_Dominance,201,0.663752,0.050790,0.089757,0.007900,84,84,14,4343,0.775230,
GA_Energy_Dominance,202,0.660903,0.046850,0.098570,0.008122,91,91,3,4134,0.764041,
GA_Energy_Dominance,203,0.631744,0.071996,0.110297,0.006291,90,90,14,4312,0.760345,
GA_Energy_Dominance,204,0.659463,0.053273,0.093838,0.010147,86,86,0,4008,0.759996,
GA_Energy_Dominance,205,0.574173,0.079374,0.168474,0.015186,90,90,10,3586,0.671439,
GA_Energy_Dominance,206,0.639703,0.071182,0.114348,0.005822,88,88,0,3932,0.743025,
GA_Energy_Dominance,207,0.621824,0.084914,0.110658,0.008924,75,75,2,4435,0.753945,
GA_Energy_Dominance,208,0.659955,0.054482,0.093981,0.006079,104,104,5,3743,0.751310,
GA_Energy_Dominance,209,0.638501,0.075558,0.108630,0.006808,105,105,0,4115,0.752332,
