Algorithm,Seed,WaitingTime,Energy,IsUniversalPareto
GA_WaitingTime,200,4.248000,0.137237231,true
GA_WaitingTime,201,4.288000,0.139809189,false
GA_WaitingTime,202,4.254000,0.140989865,false
GA_WaitingTime,203,4.230000,0.141865479,false
GA_WaitingTime,204,4.222000,0.137564180,true
GA_WaitingTime,205,4.240000,0.141595052,false
GA_WaitingTime,206,4.256000,0.143642955,false
GA_WaitingTime,207,4.270000,0.137811407,false
GA_WaitingTime,208,4.216000,0.139220833,true
GA_WaitingTime,209,4.244000,0.141434535,false
GA_Energy,200,7.148000,0.102309861,false
GA_Energy,201,6.946000,0.102530300,false
GA_Energy,202,7.148000,0.102346817,false
GA_Energy,203,7.118000,0.101973708,false
GA_Energy,204,7.588000,0.102136618,false
GA_Energy,205,7.172000,0.102056749,false
GA_Energy,206,7.342000,0.101858985,false
GA_Energy,207,7.568000,0.101956557,false
GA_Energy,208,7.012000,0.102690132,false
GA_Energy,209,6.946000,0.103736912,false
SA_WaitingTime,200,4.872000,0.156149451,false
SA_WaitingTime,201,5.086000,0.158920863,false
SA_WaitingTime,202,4.728000,0.149546794,false
SA_WaitingTime,203,4.520000,0.157331207,false
SA_WaitingTime,204,4.932000,0.156315322,false
SA_WaitingTime,205,4.928000,0.159308945,false
SA_WaitingTime,206,4.950000,0.157310643,false
SA_WaitingTime,207,4.900000,0.152309428,false
SA_WaitingTime,208,4.976000,0.155891578,false
SA_WaitingTime,209,5.026000,0.157544176,false
SA_Energy,200,7.216000,0.099704557,true
SA_Energy,201,6.738000,0.101119347,true
SA_Energy,202,7.122000,0.100722451,true
SA_Energy,203,7.934000,0.100714959,false
SA_Energy,204,6.718000,0.104197526,true
SA_Energy,205,7.192000,0.100799853,false
SA_Energy,206,7.266000,0.101802141,false
SA_Energy,207,6.942000,0.101355618,false
SA_Energy,208,7.488000,0.101657246,false
SA_Energy,209,6.788000,0.105009384,false
NSGA-II,200,5.256000,0.143671964,false
NSGA-II,200,6.198000,0.123084635,false
NSGA-II,200,5.282000,0.142575866,false
NSGA-II,200,5.304000,0.139025765,false
NSGA-II,200,5.916000,0.125601491,false
NSGA-II,200,6.084000,0.123242447,false
NSGA-II,200,5.490000,0.131702943,false
NSGA-II,200,5.376000,0.135449729,false
NSGA-II,200,5.818000,0.126518874,false
NSGA-II,200,5.714000,0.128274901,false
NSGA-II,200,6.048000,0.124445570,false
NSGA-II,200,5.368000,0.138172278,false
NSGA-II,200,5.632000,0.128736311,false
NSGA-II,200,5.482000,0.134058070,false
NSGA-II,200,5.972000,0.125086670,false
NSGA-II,200,5.734000,0.127350575,false
NSGA-II,200,5.518000,0.130698491,false
NSGA-II,200,6.012000,0.124984772,false
NSGA-II,200,5.532000,0.130162150,false
NSGA-II,200,5.440000,0.134586154,false
NSGA-II,200,5.772000,0.127079561,false
NSGA-II,200,5.588000,0.130079188,false
NSGA-II,200,5.326000,0.138539353,false
NSGA-II,200,5.624000,0.129304154,false
NSGA-II,200,5.814000,0.127051390,false
NSGA-II,200,5.608000,0.129886807,false
NSGA-II,200,5.480000,0.134246106,false
